trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0077_oos_00020,2025-01-31T13:00:00+00:00,2025-01-31T13:02:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,38516.1687228246,38428.75194769866,1.0,-87.41677512593742,-118.19474339414673,30.777968268209307,11.54173810057849,-1.9270926709437275,0:02:00,2.0,31.832800175398006,-96.92610482460441,uptrend,low_vol,68.35993674811334,45.36199864285767,0.003604604017966338
FAM_0077_oos_00021,2025-02-01T00:05:00+00:00,2025-02-01T00:11:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,39320.590849046755,39465.735594502454,1.0,145.14474545569828,113.6302148782786,31.514530577419688,11.817948966532382,2.59417821097034,0:06:00,6.0,155.10303095324343,-28.08048604675423,uptrend,high_vol,61.87441702416321,55.9501829285712,0.025506803122564887
FAM_0077_oos_00022,2025-02-01T00:20:00+00:00,2025-02-01T00:35:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,39420.40839743346,39540.012331366546,1.0,119.60393393308914,88.01976564156914,31.58416829152,11.84406310932,1.723946404243539,0:15:00,15.0,183.82980756654433,-14.337781433459895,uptrend,high_vol,59.027861416304255,69.37798857142947,0.0283589388268102
FAM_0077_oos_00023,2025-02-01T00:49:00+00:00,2025-02-01T01:00:00+00:00,short,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,39492.61789159905,39609.79199188261,1.0,-117.17410028355516,-148.81506423694782,31.64096395339266,11.865361482522248,-1.8961314505845366,0:11:00,11.0,-112.85507940094976,89.55066959905525,uptrend,high_vol,38.41187514671809,61.79640142857014,0.02701088097211898
FAM_0077_oos_00024,2025-02-01T01:29:00+00:00,2025-02-01T01:37:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,39707.0201937551,39850.51496906721,1.0,143.4947753121087,111.67176124697976,31.823014065128927,11.933630274423347,2.5920082360960826,0:08:00,8.0,216.76656024489785,-23.6698517551049,uptrend,low_vol,70.00297257868903,55.36046271428495,0.033763326151702376
FAM_0077_oos_00025,2025-02-01T01:51:00+00:00,2025-02-01T01:55:00+00:00,short,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,39718.7857623289,39564.74317780379,1.0,154.0425845251084,122.32917294905532,31.71341157605308,11.892529341019905,2.599851995652862,0:04:00,4.0,-39.935349671097356,185.58370032890525,uptrend,low_vol,19.1545062171531,59.25052071428633,0.03260067358544854
FAM_0077_oos_00026,2025-02-01T07:40:00+00:00,2025-02-01T07:46:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,39042.20175894605,38916.51698335984,1.0,-125.68477558621089,-156.86826308313326,31.183487496922357,11.693807811345884,-1.887687523224021,0:06:00,6.0,61.10290105394961,-141.80905794605496,uptrend,high_vol,57.6364702069733,66.5813457142862,0.018010231296930752
FAM_0077_oos_00027,2025-02-01T12:04:00+00:00,2025-02-01T12:12:00+00:00,short,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,38976.20119572455,38816.927767746965,1.0,159.2734279775832,128.1561763921946,31.1172515853886,11.668969344520725,2.6047912472282606,0:08:00,8.0,-12.167826275450352,185.5301457245514,uptrend,high_vol,39.80692241259289,61.14633107142851,0.014587387077385548
FAM_0077_oos_00028,2025-02-01T12:33:00+00:00,2025-02-01T12:48:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,38977.367112207605,39060.296801491255,1.0,82.92968928365008,51.71462371817053,31.215065565479545,11.70564958705483,1.454256760338941,0:15:00,15.0,110.77842379239883,-57.0911172076012,uptrend,high_vol,59.10119011418324,57.02547964285726,0.015543439666098054
FAM_0077_oos_00029,2025-02-01T13:01:00+00:00,2025-02-01T13:16:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,39132.25335966031,39170.773219542454,1.0,38.519859882144374,7.198649250463269,31.321210631681105,11.745453986880415,0.6428810214819302,0:15:00,15.0,144.3563103396882,-100.73354666031082,uptrend,high_vol,73.32899532051276,59.917556428571906,0.019839327584997637
