family_id,family_name,hypothesis_class,train_net_pnl,validation_net_pnl,oos_net_pnl,train_profit_factor,validation_profit_factor,oos_profit_factor,train_expectancy,validation_expectancy,oos_expectancy,max_drawdown,trade_count,average_trade_pnl,average_win,average_loss,win_rate,cost_impact,slippage_impact,no_cost_result,realistic_cost_result,average_holding_time,pnl_by_side,pnl_by_setup,pnl_by_hour,pnl_by_regime
FAM_0020,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0020,pullback_continuation,1006.7658995836535,149.88816388257354,104.64982814966869,3.374792765296418,1.811324602969108,1.3105318683401677,37.28762591050569,18.736020485321692,9.513620740878972,-113.15053170968179,46,27.419649817736865,59.64835702225646,-105.07614646751036,0.8043478260869565,458.46976841104254,-136.51426260295526,563.1195965607112,104.64982814966869,6.909090909090909,{'short': 104.64982814966869},{'range_breakout': 104.64982814966869},"{'09': 98.60046259813461, '13': -61.86252350167449, '14': 75.70525746583064, '15': 52.625346405759444, '16': -112.18575236675169, '20': 117.26022235357088, '01': -113.15053170968179, '02': 47.65734690448109}","{'downtrend|high_vol': 67.7145789303245, 'downtrend|low_vol': 36.9352492193442}"
FAM_0021,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0021,failed_breakout_fade,-207.48104480063532,-146.47761070602064,-72.57171293041412,0.3329872923572553,0.2197693728164414,0.3316033205203151,-6.102383670606921,-13.316146427820058,-6.597428448219466,-266.38580812467956,56,-7.616613722090536,4.758996105930438,-33.74290113680148,0.6785714285714286,436.4968218461329,-137.8330802276783,363.92510891571874,-72.57171293041412,1.8181818181818181,"{'long': 18.600366825560137, 'short': -91.17207975597427}",{'range_breakout': -72.57171293041412},"{'10': 14.826681529068694, '12': 12.356478885867546, '17': -4.740727859574761, '18': -2.5218510198864124, '19': -96.91943947035197, '23': -3.427211286514627, '01': 7.854356290977414}","{'uptrend|high_vol': -60.91533932684754, 'uptrend|low_vol': -11.656373603566585}"
FAM_0022,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0022,failed_breakout_fade,2408.991289421465,543.0527554415252,939.8943564789081,2.427514281963815,1.7206099850215268,2.683527086370737,30.493560625588163,17.51783082069436,32.410150223410625,-345.4675439708586,139,27.999556844186333,61.530101780184204,-111.09011103847152,0.8057553956834532,1152.1427568410725,-361.78811906556314,2092.0371133199806,939.8943564789081,4.344827586206897,{'long': 939.8943564789081},{'range_breakout': 939.8943564789081},"{'10': 298.7710972496574, '11': 131.19316121895127, '12': -22.872372739289226, '16': 126.9546475332451, '17': 216.0747529497196, '18': 237.5828086801244, '19': 61.86964993205495, '22': -114.90232708395682, '23': 197.6796509709634, '00': 56.472231917043736, '01': -134.57954003437058, '02': -114.34940411523462}","{'uptrend|high_vol': 938.988170271192, 'uptrend|low_vol': 0.9061862077166722}"
FAM_0023,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0023,failed_breakout_fade,81.13441270859488,72.30917171774654,66.06381981953311,1.1140185285405586,1.6418397638046385,1.520086061819056,4.056720635429744,18.077292929436634,16.515954954883277,-381.35326511327514,28,7.8395501516383765,58.539056743035,-118.90921632685318,0.7142857142857143,159.75296756047172,-50.454250876385956,225.81678738000483,66.06381981953311,10.0,{'short': 66.06381981953311},{'range_breakout': 66.06381981953311},"{'12': 66.58768104056888, '19': -76.43495088564075, '01': 75.91108966460496}",{'uptrend|high_vol': 66.06381981953311}
FAM_0024,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0024,failed_breakout_fade,17.02959471659181,72.30917171774654,66.06381981953311,1.0239317604750737,1.6418397638046385,1.520086061819056,0.89629445876799,18.077292929436634,16.515954954883277,-376.2063805873978,27,5.755651342735979,58.246121940457726,-118.90921632685318,0.7037037037037037,159.75296756047172,-50.454250876385956,225.81678738000483,66.06381981953311,10.0,{'short': 66.06381981953311},{'range_breakout': 66.06381981953311},"{'12': 66.58768104056888, '19': -76.43495088564075, '01': 75.91108966460496}",{'uptrend|high_vol': 66.06381981953311}
FAM_0025,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0025,failed_breakout_fade,2166.529550386633,755.3269201216569,959.9396106346062,1.82362899346686,1.8194333213528164,2.2854992255108546,30.51450070967089,29.051035389294498,38.397584425384245,-591.9304137345064,122,31.818000665105703,90.89750986575032,-134.34311896170723,0.7377049180327869,994.7129630482491,-312.08629714476484,1954.6525736828553,959.9396106346062,7.24,"{'long': 965.7224284048366, 'short': -5.782817770230558}",{'range_breakout': 959.9396106346062},"{'10': 407.22084382007404, '11': 81.67936105876171, '12': -82.02777143247985, '16': 176.6542615239723, '17': 245.48896627725037, '18': 169.10488290237504, '19': -154.48514027420384, '22': -136.50259652410617, '23': 260.15827806548555, '00': 289.57411099875594, '01': -161.45386009576166, '02': -135.4717256855177}","{'uptrend|high_vol': 718.549988283305, 'uptrend|low_vol': 241.38962235130094}"
FAM_0026,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0026,failed_breakout_fade,52.407668304695655,64.28731326620948,142.49877070517385,52.407668304695655,64.28731326620948,142.49877070517385,52.407668304695655,64.28731326620948,71.24938535258693,0.0,4,64.79843806901974,64.79843806901974,0.0,1.0,80.2089724948267,-25.334723464357232,222.70774320000055,142.49877070517385,11.0,{'short': 142.49877070517385},{'range_breakout': 142.49877070517385},"{'12': 66.58768104056888, '01': 75.91108966460496}",{'uptrend|high_vol': 142.49877070517385}
FAM_0027,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0027,failed_breakout_fade,30.919620071737548,-151.180755790121,194.77899877431224,1.0897164867552627,0.3228476384656191,194.77899877431224,0.858878335326043,-15.1180755790121,12.98526658495415,-222.79188664553936,61,1.2216043123922762,11.8965637087449,-81.1280824594708,0.8852459016393442,590.7425798256704,-186.571100658112,785.5215785999826,194.77899877431224,1.2,{'short': 194.77899877431224},{'range_breakout': 194.77899877431224},"{'09': 12.124015642029406, '13': 57.476346573156945, '14': 19.362295000412416, '15': 8.014486324229516, '16': 18.466187617393196, '20': 49.801117499038696, '21': 9.79856637150025, '01': 15.267274685399933, '02': 4.46870906115192}","{'downtrend|high_vol': 151.4387678917468, 'downtrend|low_vol': 43.34023088256543}"
FAM_0028,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0028,failed_breakdown_fade,-85.19663827062678,5.065049475500338,-81.04461582714123,0.1922767979325826,5.065049475500338,0.052380951094642005,-6.5535875592789825,2.532524737750169,-27.01487194238041,-94.38026318571869,18,-8.954233590125982,3.728222729455312,-19.100198645791014,0.4444444444444444,119.40748462714384,-37.70898177071989,38.362868800002616,-81.04461582714123,1.6666666666666667,{'short': -81.04461582714123},{'range_breakout': -81.04461582714123},"{'12': 4.479853020081613, '19': -85.52446884722283}",{'uptrend|high_vol': -81.04461582714123}
FAM_0029,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0029,failed_breakdown_fade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{}
FAM_0030,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0030,failed_breakdown_fade,2599.241752228645,847.4903777571592,1357.68317576811,2.389092614988077,2.1877052474713685,4.2850250844625055,28.56309617833676,24.214010793061693,41.14191441721545,-289.86350472628715,159,30.21644846386109,60.018786839315794,-103.38024080541864,0.8176100628930818,1335.0373145425876,-411.8022712454682,2692.7204903106976,1357.68317576811,3.606060606060606,{'long': 1357.68317576811},{'range_breakout': 1357.68317576811},"{'10': 406.59456936063145, '11': 127.43479739298206, '12': -63.3471839889221, '16': 163.05648175691036, '17': 153.68845734882615, '18': 296.6480087280083, '19': 60.05437430761063, '22': -98.70212500384662, '23': 192.03354217840257, '00': 146.75233519238608, '01': 71.97758143263975, '02': -98.50766293751866}","{'uptrend|high_vol': 1270.410324639742, 'uptrend|low_vol': 87.27285112836765}"
FAM_0031,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0031,failed_breakdown_fade,896.0716097637029,293.4956960367795,436.61079289597103,2.087707013038169,2.0534562658401,3.372300577098929,12.274953558406889,10.120541242647569,16.170770107258186,-279.5345491083863,129,12.606031772840726,25.327331494640482,-91.89035879908593,0.8914728682170543,1123.503740238314,-336.62852726087004,1560.114533134285,436.61079289597103,1.8518518518518519,{'long': 436.61079289597103},{'range_breakout': 436.61079289597103},"{'10': 126.94352812168455, '11': -75.13169463581977, '12': 49.82406898226101, '16': 57.031424837167194, '17': 83.37621061216021, '18': 68.494492742136, '19': 25.564137443088576, '22': -87.90199028377558, '23': 67.06981163158062, '00': 72.690569478744, '01': 32.0412443462352, '02': 16.608989620508964}","{'uptrend|high_vol': 459.3816399569863, 'uptrend|low_vol': -22.770847061015303}"
FAM_0032,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0032,failed_breakdown_fade,-329.15494807439325,137.17809537011436,282.5857284943961,0.7404252900872531,2.0237476998191357,282.5857284943961,-16.45774740371966,34.29452384252859,94.19524283146536,-856.4634322946629,27,3.3558842885228626,87.80350826756319,-140.20507647584563,0.6296296296296297,119.92992343702986,-37.88258852762046,402.51565193142596,282.5857284943961,19.333333333333332,{'short': 282.5857284943961},{'range_breakout': 282.5857284943961},"{'12': 97.00784170367538, '19': 76.42117326887083, '01': 109.15671352184991}",{'uptrend|high_vol': 282.5857284943961}
FAM_0033,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0033,failed_breakdown_fade,21.464860020666258,29.780308578115303,68.22202209810445,21.464860020666258,29.780308578115303,68.22202209810445,21.464860020666258,29.780308578115303,34.11101104905222,0.0,4,29.866797674221502,29.866797674221502,0.0,1.0,80.24980670189592,-25.34586052182531,148.47182880000037,68.22202209810445,1.5,{'short': 68.22202209810445},{'range_breakout': 68.22202209810445},"{'12': 31.097493600292523, '01': 37.12452849781193}",{'uptrend|high_vol': 68.22202209810445}
FAM_0034,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0034,failed_breakdown_fade,28.465147109953495,-69.75128127387559,65.79354168227977,1.25113681880962,0.2214965588799446,13.378057554178527,1.0166123967840535,-8.718910159234449,5.061041667867674,-97.50068681976457,49,0.5001511738440343,6.465681841677318,-16.019779906309683,0.7346938775510204,511.4658331520118,-161.5311098907152,577.2593748342915,65.79354168227977,1.1538461538461537,{'short': 65.79354168227977},{'range_breakout': 65.79354168227977},"{'09': -0.6873098329472569, '13': 17.675832763387078, '14': 11.015189449991688, '15': 1.4054700158557907, '16': 10.384624319410712, '20': 17.867479479806946, '21': 2.7379579254920046, '01': 7.323905217664645, '02': -1.9296076563818403}","{'downtrend|high_vol': 56.98490221025179, 'downtrend|low_vol': 8.808639472027977}"
FAM_0035,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0035,vwap_reversion,-371.22839824032064,134.8381512030619,35.39379641066782,0.4743075262087373,134.8381512030619,1.3692754769779527,-28.55603063387082,67.41907560153095,11.797932136889273,-503.6888828304272,18,-11.166469479255051,66.7800462794261,-89.1129852379362,0.5,119.34347172504047,-37.69152299239555,154.7372681357083,35.39379641066782,10.333333333333334,{'short': 35.39379641066782},{'range_breakout': 35.39379641066782},"{'12': 74.19272120634551, '19': -38.7989247956777}",{'uptrend|high_vol': 35.39379641066782}
FAM_0036,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0036,vwap_reversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{}
